Priority,Completeness,Year,Title,Issues,TMDB_ID,URL
Medium,70%,2024,"Vettaiyan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1093966,http://localhost:3000/movies/vettaiyan-2024
Medium,70%,2024,"Abraham Ozler","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1184247,http://localhost:3000/movies/abraham-ozler-2024
Medium,70%,2024,"Thalavan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1112108,http://localhost:3000/movies/thalavan-2024
Medium,70%,2024,"Raayan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1136418,http://localhost:3000/movies/raayan-2024
Medium,70%,2024,"Manjummel Boys","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1069945,http://localhost:3000/movies/manjummel-boys-2024
Medium,70%,2024,"Kishkindha Kaandam","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1025125,http://localhost:3000/movies/kishkindha-kaandam-2024
Medium,70%,2024,"Crew","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1045931,http://localhost:3000/movies/crew-2024
Medium,70%,2024,"Leela Vinodham","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/leela-vinodham-2024
Medium,70%,2024,"Bhavanam","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/bhavanam-2024
Medium,70%,2024,"MaXXXine","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1023922,http://localhost:3000/movies/maxxxine-2024
Medium,70%,2024,"Brahmmavaram P.S. Paridhilo","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/brahmmavaram-p-s-paridhilo-2024
Medium,70%,2024,"Bagheera","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",777292,http://localhost:3000/movies/bagheera-2024
Medium,70%,2024,"Meiyazhagan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1136423,http://localhost:3000/movies/meiyazhagan-2024
Medium,70%,2024,"Stree 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1112426,http://localhost:3000/movies/stree-2-2024
Medium,70%,2024,"Lost Ladies","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1163194,http://localhost:3000/movies/lost-ladies-2024
Medium,70%,2023,"Spider-Man: Across the Spider-Verse","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",569094,http://localhost:3000/movies/spider-man-across-the-spider-verse-2023
Medium,70%,2023,"Subramanyam Chigurupati","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/subramanyam-chigurupati-2023
Medium,70%,2023,"Five Nights at Freddy's","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",507089,http://localhost:3000/movies/five-nights-at-freddy-s-2023
Medium,70%,2023,"Pachuvum Athbhuthavilakkum","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",816590,http://localhost:3000/movies/pachuvum-athbhuthavilakkum-2023
Medium,70%,2023,"Aachar & Co","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1147765,http://localhost:3000/movies/aachar-co-2023
Medium,70%,2023,"Kaatera","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1212788,http://localhost:3000/movies/kaatera-2023
Medium,70%,2023,"¿Quieres ser mi hijo?","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1181678,http://localhost:3000/movies/-quieres-ser-mi-hijo--2023
Medium,70%,2023,"Kill Shot","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1134055,http://localhost:3000/movies/kill-shot-2023
Medium,70%,2023,"Toby","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1139698,http://localhost:3000/movies/toby-2023
Medium,70%,2023,"Barla Narayana","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/barla-narayana-2023
