slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
pontons-heart-2025	Ponton's Heart		2025	Senad Šahmanović	1426512	YES	YES	http://localhost:3000/movies/pontons-heart-2025
12a-railway-colony-2025	12A Railway Colony		2025	Nani Kasaragadda	1450340	YES	YES	http://localhost:3000/movies/12a-railway-colony-2025
thank-you-dear-2025	Thank You Dear		2025	Thota Srikanth Kumar	1506578	YES	NO	http://localhost:3000/movies/thank-you-dear-2025
sasivadane-2025	Sasivadane		2025	Sai Mohan Ubbana	1413637	YES	YES	http://localhost:3000/movies/sasivadane-2025
court-state-vs-a-nobody-2025	Court: State vs. A Nobody		2025	Ram Jagadeesh	1424217	YES	YES	http://localhost:3000/movies/court-state-vs-a-nobody-2025
hathya-2025	Hathya		2025	Srividya Basawa	1422602	YES	YES	http://localhost:3000/movies/hathya-2025
sikandar-2025	Sikandar		2025	A. R. Murugadoss	1257960	YES	YES	http://localhost:3000/movies/sikandar-2025
elumale-2025	Elumale		2025	Punit Rangaswamy	1531329	YES	YES	http://localhost:3000/movies/elumale-2025
jaat-2025	Jaat		2025	Gopichand Malineni	1306845	YES	YES	http://localhost:3000/movies/jaat-2025
dinasari-2025	Dinasari		2025	G. Sankar	1432145	YES	YES	http://localhost:3000/movies/dinasari-2025
blackmail-2025	Blackmail		2025	Mu. Maran	1505291	YES	YES	http://localhost:3000/movies/blackmail-2025
akhanda-2-thaandavam-2025	Akhanda 2: Thaandavam		2025	Boyapati Srinu	1372588	YES	YES	http://localhost:3000/movies/akhanda-2-thaandavam-2025
konjam-kadhal-konjam-modhal-2025	Konjam Kadhal Konjam Modhal		2025	K. Rangaraj	1444744	YES	YES	http://localhost:3000/movies/konjam-kadhal-konjam-modhal-2025
ilanti-cinema-meereppudu-chusundaru-2025	Ilanti Cinema Meereppudu Chusundaru		2025	Super Raja	1543431	YES	YES	http://localhost:3000/movies/ilanti-cinema-meereppudu-chusundaru-2025
the-girlfriend-2025	The Girlfriend		2025	Rahul Ravindran	1196348	YES	YES	http://localhost:3000/movies/the-girlfriend-2025
mirai-2025	Mirai		2025	Karthik Ghattamaneni	1222479	YES	YES	http://localhost:3000/movies/mirai-2025
hari-hara-veera-mallu-part-1-sword-vs-spirit-2025	Hari Hara Veera Mallu: Part 1 – Sword vs Spirit		2025	Jyothi Krishna	727121	YES	YES	http://localhost:3000/movies/hari-hara-veera-mallu-part-1-sword-vs-spirit-2025
chaurya-paatam-2025	Chaurya Paatam		2025	Nikhil Gollamari	1472031	YES	YES	http://localhost:3000/movies/chaurya-paatam-2025
andhra-king-taluka-2025	Andhra King Taluka		2025	Mahesh Babu P	1407437	YES	YES	http://localhost:3000/movies/andhra-king-taluka-2025
break-out-2025	Boss		2025	Ra Hee-chan	1053231	YES	YES	http://localhost:3000/movies/break-out-2025
dilruba-2025	Dilruba		2025	Viswa Karun	1099485	YES	NO	http://localhost:3000/movies/dilruba-2025
the-birthday-boy-2024	The Birthday Boy		2024	Whiskey	1319112	YES	YES	http://localhost:3000/movies/the-birthday-boy-2024
matka-2024	Matka		2024	Karuna Kumar	1233327	YES	YES	http://localhost:3000/movies/matka-2024
oka-manchi-prema-katha-2024	Oka Manchi Prema Katha		2024	Akkineni Kutumba Rao	1399236	YES	YES	http://localhost:3000/movies/oka-manchi-prema-katha-2024
appudo-ippudo-eppudo-2024	Appudo Ippudo Eppudo		2024	Sudheer Varma	1380109	YES	YES	http://localhost:3000/movies/appudo-ippudo-eppudo-2024
veeranjaneyulu-vihara-yatra-2024	Veeranjaneyulu Vihara Yatra		2024	Anurag Palutla	1319864	YES	YES	http://localhost:3000/movies/veeranjaneyulu-vihara-yatra-2024
om-bheem-bush-2024	Om Bheem Bush		2024	Sree Harsha Konuganti	1248487	YES	YES	http://localhost:3000/movies/om-bheem-bush-2024
sarangadhariya-2024	Sarangadhariya		2024	Padmarao Abbisetti	1340378	YES	YES	http://localhost:3000/movies/sarangadhariya-2024
jilebi-2024	Jilebi		2024	K. Vijaya Bhaskar	1032240	YES	YES	http://localhost:3000/movies/jilebi-2024
maa-nanna-superhero-2024	Maa Nanna Superhero		2024	Abhilash Reddy	1357414	YES	YES	http://localhost:3000/movies/maa-nanna-superhero-2024
bhimaa-2024	Bhimaa		2024	A. Harsha	1226886	YES	YES	http://localhost:3000/movies/bhimaa-2024
roti-kapda-romance-2024	Roti Kapda Romance		2024	Vikram reddy	1391033	YES	YES	http://localhost:3000/movies/roti-kapda-romance-2024
kotha-rangula-prapancham-2024	Kotha Rangula Prapancham		2024	Prudhvi Raj	1230101	YES	YES	http://localhost:3000/movies/kotha-rangula-prapancham-2024
valari-2024	Valari		2024	M. Mallikarjun	1254651	YES	YES	http://localhost:3000/movies/valari-2024
tenant-2024	Tenant		2024	Y. Yugandhar	1392010	YES	YES	http://localhost:3000/movies/tenant-2024
honeymoon-express-2024	Honeymoon Express		2024	Bala Rajasekharuni	1339339	YES	YES	http://localhost:3000/movies/honeymoon-express-2024
ambajipeta-marriage-band-2024	Ambajipeta Marriage Band		2024	Dushyanth Katikaneni	1190968	YES	YES	http://localhost:3000/movies/ambajipeta-marriage-band-2024
