slug,title_en,year,hero,director,title_te
yuddha-bhoomi-1988,"Yuddha Bhoomi",1988,"Chiranjeevi","K. Raghavendra Rao",
agni-putrudu-1987,"Agni Putrudu",1987,"Akkineni Nageswara Rao","K Raghavendra Rao",
aha-naa-pellanta-1987,"Aha Naa Pellanta!",1987,"Rajendra Prasad","Jandhyala Subramanya Sastry",
ajeyudu-1987,"Ajeyudu",1987,"Daggubati Venkatesh","G. Ram Mohan Rao",
allari-krishnaiah-1987,"Allari Krishnaiah",1987,"Nandamuri Balakrishna","Nandamuri Ramesh",
aradhana-1987,"Aradhana",1987,"Chiranjeevi","Bharathiraja",
aulad-1987,"Aulad",1987,"Jeetendra","Vijay Sadanah",
bhale-mogudu-1987,"Bhale Mogudu",1987,"Rajendra Prasad","A. Kodandarami Reddy",
bhanumati-gari-mogudu-1987,"Bhanumati Gari Mogudu",1987,"Nandamuri Balakrishna","Kodi Ramakrishna",
bharatamlo-arjunudu-1987,"Bharatamlo Arjunudu",1987,"Daggubati Venkatesh","K. Raghavendra Rao",
bhargava-ramudu-1987,"Bhargava Ramudu",1987,"Nandamuri Balakrishna","A. Kodandarami Reddy",
brahma-nayudu-1987,"Brahma Nayudu",1987,"Krishna","A. Kodandarami Reddy",
collector-gari-abbai-1987,"Collector Gari Abbai",1987,"Akkineni Nagarjuna","B. Gopal",
damit-katha-adam-thirigindi-1987,"Damit Katha Adam Thirigindi",1987,"Rajendra Prasad","K. Vasu",
donga-garu-swagatham-1987,"Donga Garu Swagatham",1987,"Krishna","G. Ram Mohana Rao",
donga-mogudu-1987,"Donga Mogudu",1987,"Chiranjeevi","A. Kodandarami Reddy",
dongodochhadu-1987,"Dongodochhadu",1987,"Krishna","Kodi Ramakrishna",
gundamma-gari-krishnulu-1987,"Gundamma Gari Krishnulu",1987,"Rajendra Prasad","Relangi Narasimha Rao",
himmat-aur-mehanat-1987,"Himmat Aur Mehanat",1987,"Sridevi","K. Bapayya",
jawab-hum-denge-1987,"Jawab Hum Denge",1987,"Jackie Shroff","Vijay Reddy",
jebu-donga-1987,"Jebu Donga",1987,"Chiranjeevi","A. Kodandarami Reddy",
karthika-pournami-1987,"Karthika Pournami",1987,"Vinod Kumar","M. Mallikarjuna Rao",
kirayi-dada-1987,"Kirayi Dada",1987,"Akkineni Nagarjuna","A. Kodandarami Reddy",
lawyer-suhasini-1987,"Lawyer Suhasini",1987,"Rajendra Prasad","Vamsi",
maa-ooru-1987,"Maa Ooru",1987,"Rajendra Prasad","A. Kodandarami Reddy",
maa-voori-magaadu-1987,"Maa Voori Magaadu",1987,"Krishna","K. Bapayya",
maa-voori-magadu-1987,"Maa Voori Magadu",1987,"Krishna","K. Bapaiah",
madana-gopaludu-1987,"Madana Gopaludu",1987,"Rajendra Prasad","P.N. Ramachandra Rao",
majnu-1987,"Majnu",1987,"Akkineni Nagarjuna","Dasari Narayana Rao",
makutamleni-maharaju-1987,"Makutamleni Maharaju",1987,"Krishna","K. Bapaiah",
manmadha-leela-kamaraju-gola-1987,"Manmadha Leela Kamaraju Gola",1987,"Rajendra Prasad","Relangi Narasimha Rao",
muddayi-1987,"Muddayi",1987,"Krishna","K.S.R. Das",
muddu-bidda-1987,"Muddu Bidda",1987,"Krishna","K.S.R. Das",
naa-mogudu-naake-sontham-1987,"Naa Mogudu Naake Sontham",1987,"Mohan Babu","Dasari Narayana Rao",
nakoo-pellam-kavali-1987,"Nakoo Pellam Kavali",1987,"Rajendra Prasad","Vijaya Bapineedu",
